ID,Collection date
OQ934005,2018
ON012459,2020
ON012461,2020
ON012462,2020
OM222057,2020-04-29
OM222058,2020-04-29
OM222059,2020-04-29
OM222060,2020-04-29
OM222061,2020-09-17
OM222062,2020-09-17
OM222063,2020-09-17
OM222064,2020-05-24
MG772933,2017-02
MG772934,2015-07
KY417142,2014-05-12
KY417143,2012-09-18
KY417144,2012-09-18
KY417145,2012-09-18
KY417146,2013-04-17
KY417147,2013-04-17
KY417148,2013-04-17
KY417149,2013-04-17
KY417150,2013-07-21
KY417151,2014-10-24
KY417152,2015-10-16
KF294457,2012
GQ153545,
DQ022305,
FJ588692,2006
Q0Q475,
DQ648857,
DQ412043,
GQ153546,
Q3I5J5,
DQ071615,
MT782114,2008-12-16
MT782115,2008-12-16
GQ153539,
GQ153540,
GQ153541,
GQ153542,
GQ153543,
GQ153544,
GQ153545,
GQ153546,
GQ153547,
GQ153548,
Q3LZX1,
DQ022305,
DQ084199,
DQ084200,
KC881007,2012-09-18
KF367457,2012-09
DQ648856,
DQ412042,
